Date,Price,Open,High,Low,Vol.,
01/08/2021,118.51,118.97,119.43,118.05,268.70K,
01/07/2021,118.97,119.43,119.43,117.59,399.79K,
01/06/2021,118.97,119.24,119.24,117.59,206.80K,
01/05/2021,118.87,118.97,120.34,118.32,368.40K,
01/04/2021,118.32,116.21,118.97,116.21,898.75K,
12/31/2020,116.21,115.38,116.67,114.92,326.05K,
12/30/2020,115.38,116.67,116.67,114.83,107.91K,
12/28/2020,115.84,115.29,116.58,114.65,82.26K,
12/24/2020,114.56,114.19,114.83,113.82,123.50K,
12/23/2020,114.01,113.91,114.83,113.82,104.40K,
12/22/2020,113.91,114.83,114.83,113.82,282.58K,
12/21/2020,114.01,114.37,115.75,113.91,144.51K,
12/18/2020,114.28,115.66,116.49,113.73,285.07K,
12/17/2020,113.73,114.92,115.02,113.45,127.36K,
12/16/2020,115.66,116.3,117.59,115.02,275.09K,
12/15/2020,116.3,119.24,119.24,114.83,202.96K,
12/14/2020,118.78,118.78,119.43,118.41,317.82K,
12/11/2020,119.24,120.34,120.44,118.51,281.06K,
12/10/2020,120.62,124.02,124.02,120.44,113.11K,
12/09/2020,122.82,122.18,124.29,119.06,884.31K,
12/08/2020,122,116.67,123.1,116.67,1.22M,
12/07/2020,115.48,111.89,116.67,111.43,767.33K,
12/04/2020,110.42,109.87,111.62,109.87,297.46K,
12/03/2020,110.06,110.7,110.7,109.5,637.89K,
12/02/2020,109.87,110.24,110.7,109.78,347.23K,
12/01/2020,109.32,107.48,110.24,107.48,236.67K,
11/30/2020,105.74,104.82,112.99,104.73,277.32K,
11/27/2020,105.19,105.28,105.65,104.54,580.23K,
11/26/2020,105.09,104.27,105.37,104.27,335.18K,
11/25/2020,104.27,104.54,104.64,103.9,212.02K,
11/24/2020,104.36,104.73,104.73,104.27,48.00K,
11/23/2020,104.27,105,105.19,104.08,78.44K,
11/20/2020,105,104.91,105.37,104.73,178.32K,
11/19/2020,104.91,105.09,105.37,104.82,65.33K,
11/18/2020,105.09,105.65,105.65,104.82,348.61K,
11/17/2020,105.19,105.65,105.74,104.73,211.05K,
11/16/2020,104.91,106.1,106.1,104.73,187.70K,
11/13/2020,106.1,105.65,106.38,105.37,416.74K,
11/12/2020,105.19,106.56,107.48,104.73,508.81K,
11/11/2020,107.02,106.75,108.4,106.75,436.04K,
11/10/2020,106.29,106.1,106.56,105.65,689.94K,
11/09/2020,105.09,105.74,105.74,104.64,574.46K,
11/06/2020,105.74,105.65,107.39,105.55,498.02K,
11/05/2020,105.28,106.2,106.47,105.19,461.35K,
11/04/2020,105.09,105.65,105.65,104.73,128.65K,
11/03/2020,104.73,105.55,105.65,104.45,70.24K,
11/02/2020,103.44,103.72,104.27,103.26,154.67K,
10/29/2020,104.82,103.72,105.19,103.72,604.47K,
10/28/2020,103.81,104.27,105.46,103.35,1.17M,
10/27/2020,104.27,104.27,105.65,103.9,958.93K,
10/26/2020,103.9,104.73,105.65,101.05,139.82K,
10/23/2020,106.47,109.23,109.23,106.1,387.07K,
10/22/2020,105.65,104.73,109.23,102.89,672.20K,
10/21/2020,105.83,109.04,109.87,105.55,866.61K,
10/20/2020,109.78,108.77,109.96,108.4,86.89K,
10/19/2020,108.49,109.32,109.32,108.22,227.26K,
10/16/2020,108.59,108.4,109.78,107.94,206.24K,
10/15/2020,108.4,110.24,111.16,108.13,216.19K,
10/14/2020,108.31,108.4,109.32,105.65,283.92K,
10/13/2020,107.57,110.24,110.24,107.3,737.45K,
10/12/2020,110.61,110.24,111.98,109.78,341.67K,
10/09/2020,110.51,109.78,112.08,109.32,385.12K,
10/08/2020,109.14,106.56,109.78,106.56,145.37K,
10/07/2020,107.39,106.66,109.6,106.56,1.00M,
10/06/2020,107.48,104.73,111.16,103.72,957.81K,
10/05/2020,106.47,110.24,112.08,105.65,1.10M,
10/02/2020,114.37,116.67,116.76,112.99,355.60K,
09/30/2020,116.67,114.83,116.76,114.83,266.15K,
09/29/2020,116.76,118.41,118.41,114.83,4.85M,
